编号,类别,图题或文件主题,参考来源,原发布页,作者,台账许可线索,本次处理
XIAO-18-1-18,教材PDF裁图候选,图1-18 无背索斜拉桥整体平衡示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-18-1-19,教材PDF裁图候选,图1-19 传统无背索斜拉桥与无背索部分斜拉桥受力示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-18-1-20,教材PDF裁图候选,图1- 20 天津市国泰桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-19-1-21,教材PDF裁图候选,图1-21 固端拱体系结构简图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-19-1-22,教材PDF裁图候选,图1-22 中承式三跨无推力梁拱组合体系结构简图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-21-2-1,教材PDF裁图候选,图2-1 梁的传力路径示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-22-2-2,教材PDF裁图候选,图2-2 板的受力图示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-23-2-3,教材PDF裁图候选,图2-3 混凝土梁常用截面形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-23-2-4,教材PDF裁图候选,图2-4 钢梁常用结构及截面形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-23-2-5,教材PDF裁图候选,图2-5 桁梁截面和组合截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-24-2-6,教材PDF裁图候选,图2-6 拱式结构中的梁构件,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-24-2-7,教材PDF裁图候选,图2-7 拱桥固定横梁常用截面形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-25-2-10,教材PDF裁图候选,图2-10 悬索桥箱桁组合及分体式钢箱加劲梁,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-25-2-11,教材PDF裁图候选,图2-11 正交异性钢桥面板结构示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-25-2-8,教材PDF裁图候选,图2-8 悬索桥用钢桁梁断面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-25-2-9,教材PDF裁图候选,图2-9 悬索桥用钢箱梁断面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-26-2-12,教材PDF裁图候选,图2-12 正交异性钢桥面板结构和受力示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-26-2-13,教材PDF裁图候选,图2-13 梁段分析图示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-28-2-14,教材PDF裁图候选,图2-14 箱梁变形示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-28-2-16,教材PDF裁图候选,图2-16 箱梁剪力滞示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-30-2-18,教材PDF裁图候选,图2-18 板在局部荷载下的受力状态,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-31-2-19,教材PDF裁图候选,图2-19 正交异性钢桥面板结构示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-32-2-20,教材PDF裁图候选,图2-20 纵肋竖向弯曲变形---类似于支于弹性支承(弯曲横梁)上的连续梁,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-32-2-21,教材PDF裁图候选,图2-21 杆式构件受力示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-32-2-22,教材PDF裁图候选,图2-22 索受力示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-33-2-23,教材PDF裁图候选,图2-23 桁梁组成示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-33-2-24,教材PDF裁图候选,图2-24 桁梁中二力杆常用截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-34-2-25,教材PDF裁图候选,图2-25 替代腹板体系示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-34-2-26,教材PDF裁图候选,图2-26 体内预应力施加方式示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-35-2-27,教材PDF裁图候选,图2-27 体外预应力施加方式示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-36-2-29,教材PDF裁图候选,图2-29 索股钢丝及主缆索股排列方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-36-2-30,教材PDF裁图候选,图2-30 主缆截面构成,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-36-2-31,教材PDF裁图候选,图2-31 常用悬索桥吊索连接方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-37-2-32,教材PDF裁图候选,图2-32 轴向承载拉索示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-37-2-33,教材PDF裁图候选,图2-33 不同弦向力下的水平拉索状态,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-38-2-34,教材PDF裁图候选,图2-34 拉索垂度分析,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-38-2-35,教材PDF裁图候选,图2-35 横向承载拉索示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-38-2-36,教材PDF裁图候选,图2-36 满跨活载与部分加载情况下索变形比较,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-39-2-37,教材PDF裁图候选,图2-37 索的重力刚度效应,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-39-2-38,教材PDF裁图候选,图2-38 直索的自振振型示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-39-2-39,教材PDF裁图候选,图2-39 索的基本振动形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-40-2-40,教材PDF裁图候选,图2-40 有垂度索平面内自振振型示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-40-2-41,教材PDF裁图候选,图2-41 墩柱和桥塔构件的工程实例,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-41-2-42,教材PDF裁图候选,图2-42 拱的传力路径示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-41-2-43,教材PDF裁图候选,图2-43 自锚式斜拉桥主梁受力示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-42-2-44,教材PDF裁图候选,图2-44 各种常用桥墩截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-42-2-45,教材PDF裁图候选,图2-45 常用桥墩立面形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-43-2-46,教材PDF裁图候选,图2-46 斜拉桥塔简化,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-43-2-47,教材PDF裁图候选,图2-47 斜拉桥混凝土塔柱矩形截面示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-43-2-48,教材PDF裁图候选,图2-48 斜拉桥混凝土塔柱非矩形截面示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-44-2-49,教材PDF裁图候选,图2-49 斜拉桥钢塔柱截面示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-44-2-50,教材PDF裁图候选,图2-50 斜拉桥桥塔横桥向常用结构型式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-44-2-51,教材PDF裁图候选,图2-51 典型悬索桥钢桥塔截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-45-2-52,教材PDF裁图候选,图2-52 悬索桥桥塔结构简图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-45-2-53,教材PDF裁图候选,图2-53 拱肋常用截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-45-2-54,教材PDF裁图候选,图2-54 双曲拱桥截面图示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-46-2-55,教材PDF裁图候选,图2-55 箱形拱截面图示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-46-2-56,教材PDF裁图候选,图2-56 桁架拱桥结构形式图示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-46-2-57,教材PDF裁图候选,图2-57 猎德大桥拱形桥塔,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-47-2-58,教材PDF裁图候选,图2-58 玉峰大桥拱式端横梁,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-47-2-59,教材PDF裁图候选,图2-59 斜拉桥常用混凝土截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-48-2-60,教材PDF裁图候选,图2-60 斜拉桥常用组合截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-48-2-61,教材PDF裁图候选,图2-61 斜拉桥钢主梁典型截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-48-2-62,教材PDF裁图候选,图2-62 墩柱的受力简图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-49-2-63,教材PDF裁图候选,图2-63 顶端受水平推力作用的柱,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-50-2-64,教材PDF裁图候选,图2-64 拱构件受力示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-51-2-65,教材PDF裁图候选,图2-65 梁桥中的牛腿构造示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-52-2-66,教材PDF裁图候选,图2-66 梁牛腿示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-52-2-67,教材PDF裁图候选,图2-67 柱牛腿示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-52-2-68,教材PDF裁图候选,图2-68 拱桥梁拱连接部位示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-53-2-69,教材PDF裁图候选,图2-69 混凝土系杆拱桥连接部位配筋示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-53-2-70,教材PDF裁图候选,图2-70 斜拉桥拉索锚固示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-54-2-71,教材PDF裁图候选,图2-71 拉索在桥塔上的锚固方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-54-2-72,教材PDF裁图候选,图2-72 拉索在混凝土梁上的锚固方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-55-2-73,教材PDF裁图候选,图2-73 拉索在钢梁上的锚固方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-55-2-74,教材PDF裁图候选,图2-74 悬索桥中的主要连接结构,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-56-2-75,教材PDF裁图候选,图2-75 斜肋板直接传力式索鞍构造示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-56-2-76,教材PDF裁图候选,图2-76 纵横肋间接传力式主索鞍构造示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-56-2-77,教材PDF裁图候选,图2-77 摆轴式散索鞍构造示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-57-2-78,教材PDF裁图候选,图2-78 中央扣结构示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-57-2-79,教材PDF裁图候选,图2-79 柔索约束,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-57-2-80,教材PDF裁图候选,图2-80 光滑面约束,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-58-2-81,教材PDF裁图候选,图2-81 活动铰支座及其简化表示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-58-2-82,教材PDF裁图候选,图2-82 固定铰支座及其简化表示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-58-2-83,教材PDF裁图候选,图2-83 滑动支座及其简化表示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-58-2-84,教材PDF裁图候选,图2-84 固定约束,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-59-2-85,教材PDF裁图候选,图2-85 钢支座结构图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-59-2-86,教材PDF裁图候选,图2-86 板式橡胶支座结构图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-60-2-87,教材PDF裁图候选,图2-87 盆式橡胶支座结构图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-60-2-88,教材PDF裁图候选,图2-88 滑动约束示意,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-61-2-89,教材PDF裁图候选,图2-89 传统锚碇传力锚固系统构造,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-62-2-90,教材PDF裁图候选,图2-90 组合截面,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-62-2-91,教材PDF裁图候选,图2-91 石板坡长江复线桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-63-2-92,教材PDF裁图候选,图2-92 Rion-Antirion 桥索塔锚固区构造,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-63-2-93,教材PDF裁图候选,图2-93 汀九桥桥塔结构,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-64-2-95,教材PDF裁图候选,图2-95 桥梁抗震支座,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-64-2-96,教材PDF裁图候选,图2-96 速度锁定支座,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-65-2-97,教材PDF裁图候选,图2-97 桥梁中的阻尼器,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-65-2-98,教材PDF裁图候选,图2-98 Rion-Antirion Bridge 中的阻尼器布置,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-66-2-100,教材PDF裁图候选,图2-100 锚碇主缆锚固传力机理及基本构造图示,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-66-2-99,教材PDF裁图候选,图2-99 苏通大桥阻尼器设置示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-68-3-1,教材PDF裁图候选,图3-1 伸臂木梁桥示意图 图3-2 八字支承木梁桥示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-69-3-3,教材PDF裁图候选,图3-3 福斯悬臂梁桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-70-3-4,教材PDF裁图候选,图3-4 各种梁桥体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-70-3-5,教材PDF裁图候选,图3-5 瑞安飞云江大桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-71-3-6,教材PDF裁图候选,图3-6 重庆长江桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-71-3-7,教材PDF裁图候选,图3-7 南京长江大桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-72-3-8,教材PDF裁图候选,图3-8 挪威stolma 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-72-3-9,教材PDF裁图候选,图3-9 美国Happy Hollow 桥 图3-10 美国戴尼溪桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-73-3-11,教材PDF裁图候选,图3-11 梁桥上部结构构造,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-74-3-12,教材PDF裁图候选,图3-12 简支梁桥的传力示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-75-3-13,教材PDF裁图候选,图3-13 简支梁桥简化计算图式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-76-3-14,教材PDF裁图候选,图3-14 四个桥墩支承的梁桥基本模型,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-77-3-14,教材PDF裁图候选,图3-14 简支梁桥弯矩图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-77-3-15,教材PDF裁图候选,图3-15 双悬臂梁的恒载弯矩图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-78-3-16,教材PDF裁图候选,图3-16 双悬臂梁桥的布载示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-79-3-17,教材PDF裁图候选,图3-17 牛腿构造,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-79-3-18,教材PDF裁图候选,图3-18 一次落架法施工时连续梁的恒载弯矩图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
